texts,predictions,references,BLEU_1,BLEU_2,BLEU_3,BLEU_4,cosin similarity
"Be careful to avoid : Fatty and greasy foods , especially fried food .","Cẩn thận tránh thai béo và dầu xả , béo phì , bạn nên tránh thai , ăn uống chứa nhiều nước soda , hãy tránh thai .","Hãy cẩn thận để tránh : Thực phẩm giàu chất béo và mỡ , đặt biệt là thức ăn chiên rán .",0.25,0.09622504486493762,0.054624280088293196,0.019427446513842185,0.7220176458358765
The blue numbers represent the lowest ratings and the red numbers represent the highest ratings NR denotes that the drama did not rank in the Top 20 daily programs on that date .,Các phép chọn lọc và các bảng xếp hạng nặng nhất trên bảng xếp hạng IP trên bảng xếp hạng 20 trong 5 giây trước khi được gọi là các máy tính bảng xếp hạng IP vào ngày 20 tháng 7 năm trước .,Những con số màu xanh đại diện thấp nhất và đánh giá của những con số đỏ đại diện cho các đánh giá cao nhất NR chứng tỏ rằng kịch đã không phải là thứ hạng trong Top 20 chương trình hàng ngày vào ngày đó .,0.21229332351771574,0.06790917376889294,0.03841344327426566,0.012363756488868848,0.6632882356643677
The components do n't really matter .,Hàm sigbeln cũng cần analog .,Nhiều thành phần không quá quan trọng .,0.11942188509563156,0.04136895450425726,0.043742343691381705,0.02925226826055808,0.40048620104789734
To get back my i Pod ?,"Trở lại tôi sẽ không bao giờ trở thành tôi ,",Để lấy lại iPod à ?,0.0909090909090909,0.03015113445777637,0.0309558711333857,0.018850319022747353,0.4478227198123932
Paraldehyde has a hot burning taste and can upset the stomach .,Quá trình tiêu thụ quá liều quá liều khô và có thể gây ra mùi hôi .,Paraldehyd có vị nóng bỏng và có thể gây khó chịu cho dạ dày .,0.29411764705882354,0.23483410915693106,0.21564805410151583,0.1513851459876605,0.6434634923934937
Because you shot it !,Vì cậu sẽ soi mói !,Bởi vì anh đã bắn nó !,0.141080287481769,0.04887164517296948,0.051675473202961675,0.03455747170954952,0.6838475465774536
We preserve the anonymity of all of our volunteers .,Chúng tôi đã đưa ra những người hùng mạnh của tất cả các người hùng của chúng ta .,Chúng tôi đảm bảo tính nặc danh cho mọi tình nguyện viên .,0.15789473684210523,0.09365858115816939,0.05342609970036033,0.023830412565256146,0.5520557165145874
Go look after the horses .,Hãy nhìn vào gương mặt sau khi mẹ .,Đi coi chừng ngựa đi .,0.11111111111111109,0.03726779962499649,0.03853290382635659,0.023980296761827107,0.40805062651634216
But that thought is actually an expression of a sort of seductive line of argument that 's in the air .,"Nhưng điều này là một phần trăm trong số lượng lớn duy nhất của nó trong quá trình này , không thể hiện sự thật sự của nó .",Nhưng suy nghĩ đó thực ra là sự biểu lộ cho lời lập luận đầy cám dỗ trong không trung .,0.20689655172413796,0.02718301411097812,0.02743128658252084,0.010128952330932188,0.6859357357025146
He should trust me above the Northman .,"Anh nên tin tưởng tôi ở phía bắc , và tôi sẽ trở thành một người đàn ông .",Hắn nên tin ta hơn tên phương bắc .,0.21052631578947367,0.108147614087175,0.06169114608750966,0.02560744480557418,0.6989157199859619
It 's bad enough that this charlatan has wasted our time once .,"Thời gian là vì những khoảnh khắc này đã đủ thời gian dài thời gian bốn lần nữa , vì thời gian này đã có bốn lần mỗi ngày .",Thằng bịp bợm đó từng làm mất thời gian của ta đã là tệ lắm rồi .,0.16666666666666669,0.07580980435789034,0.043006625536967914,0.016604746091696276,0.5463376045227051
"Firefox , the desktop web browser ; Firefox for Android , a project for Android smartphones and tablet computers ; Firefox for iOS , a project for iOS smartphones and tablets ; Safari , the default web browser for iOS ; Mobile browser","Bột ty thiết , Nintendo DS Lite của Nintendo DS Lite , ASD 64741 .com , C CD và Trình duyệt web , máy tính cho thấy menu , ví dụ như HDMI p 331 , và một phần lãi trợ của Nintendo DS Lite , được","Firefox , trình duyệt web trên máy tính để bàn ; Firefox cho Android , một dự án cho điện thoại thông minh và máy tính bảng Android ; Firefox cho iOS , một dự án cho điện thoại thông minh và máy tính bảng iOS ; Safari , trình duyệt web mặc định cho iOS ; Trình duyệt di động",0.20534360424909945,0.09971032801464699,0.04283967434040248,0.012897977590155584,0.6556236743927002
Andrzeja Górska - Polish nun ( Commander 's Cross ) Tadeusz Isakowicz - Zaleski - Polish priest Ignacy Jeż - Polish Catholic Bishop Michał Józefczyk - Polish priest Wojciech Lemański - Polish priest Lawrence Wnuk - Polish priest,Và cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu cựu biên kịch của Peter Coco Vande là một cựu làng La Mã iusz Szkoala của Ba Lan Kleiej của Ba Lan Kle@@,Andrzeja Górska - nữ tu người Ba Lan ( Thập tự giá chỉ huy ) Tadeusz Isakowicz-Zaleski - linh mục người Ba Lan Ignacy Jeż - Giám mục Công giáo Ba Lan Michał Józefchot - linh mục người Ba Lan Wojciech Lemański - linh mục người Ba Lan Lawrence Wnuk - linh mục người Ba Lan,0.06824107719750375,0.04883864347574521,0.023237374650440932,0.009412787039862243,0.4890068769454956
Spray the tray of the cage liberally with the cage cleaner .,Món lược của mũi tên là dí dỏm trái đất của con người .,"Sau đó , bạn có thể xịt một lượng lớn thuốc làm sạch quanh lồng .",0.06191984998215582,0.020319931387183066,0.02073064256865305,0.012382165410591436,0.345724880695343
"And when the bubble burst , it could n't refinance its loans .","Và khi nó bị cháy bỏng , vì vậy nó sẽ có thể gây ra sự hấp thụ .","Và khi bong bóng nổ tung , nó không thể tái cấp vốn cho các khoản vay .",0.3157894736842105,0.13245323570650439,0.07555591478094673,0.028339296176052856,0.5254282355308533
"In order to get the best possible signal , try to place your router in a central location .","ể làm việc gì để chọn một nhóm cụ thể , bạn nên chọn một trong những bộ phận của mình trong mùa hè .","Để có được tín hiệu tốt nhất có thể , hãy cố đặt bộ định tuyến ở vị trí trung tâm .",0.15999999999999998,0.08164965809277261,0.04640611606493977,0.019051955393615476,0.6016560792922974
2015 : Uganda Press Photo Award 's top creative prize and was a runner - up in its portrait and daily life categories ; 2016 : Rencontres d'Arles Discovery Award ; 2017 : Okay Africa named her among Uganda 's best emerging artists,"Vim thanh tra phim đầu tiên được viết và David Cuom.com đã được chọn lập trình diễn ra trong năm 2015 và sau đó là một phần của chương trình diễn ra trong cuộc đua marathon tại ại học Columbia , và",2015 : Giải thưởng sáng tạo hàng đầu của Uganda Press Photo Award và là người về nhì trong các hạng mục chân dung và cuộc sống hàng ngày ; 2016 : Rencontres d'Arles Discovery Award ; 2017 : Okay Africa đưa tên bà vào danh sách các nghệ sĩ mới nổi xuất sắc nhất của Uganda,0.1332709595000248,0.015080760671100965,0.015174144455954393,0.0051686590898060766,0.6357522010803223
Never once seen a banger that could quit .,Chưa bao giờ có một chiếc xe lăn nhỏ mà không thể thấy một lần nữa .,Không có gã mua súng nào dừng lại được .,0.11764705882352941,0.027116307227332027,0.027557367422458127,0.013679192123121896,0.5757228136062622
What are you in America doing about it ?,Chị đang vướng ở những gì ?,Vậy mọi người ở Mỹ đang làm gì để đối phó với điều đó ?,0.18223231847084023,0.031122093255622835,0.03257347641277292,0.014897336427258186,0.5748397707939148
I 'll call if we need you .,Tôi sẽ gọi chúng tôi gọi cho em biết liệu pháp hữu của chúng tôi .,Tôi sẽ gọi nếu cần .,0.25,0.1825741858350554,0.1561969968460128,0.06541868941754436,0.6115336418151855
He was nominated for the Nobel Prize in Literature sixteen times .,ng đã tham khảo ý kiến trong lịch sử của Helviện đã được trao đổi trong lịch sử .,Ông đã được đề cử giải Nobel văn học mười sáu lần .,0.15789473684210523,0.09365858115816939,0.05342609970036033,0.023830412565256146,0.5997190475463867
"It explains race , culture , capitalism and how democracy destroyed western civilization .","Nó đòi hỏi , các nguồn gốc và các nguồn lực của các nguồn lực của các nguồn gốc của các quốc gia của các quốc gia khác nhau của các quốc gia khác nhau .","Nó diễn giải về các giống loài , văn hoá , chủ nghĩa tư bản và cách nền dân chủ huỷ diệt văn minh phương Tây .",0.1388888888888889,0.0199204768222399,0.020065362562352185,0.007711727065811939,0.6356626749038696
"Simply put , are you still willing to put in the energy to keep this relationship going ?","Thật hữu ích , bạn vẫn còn giúp giảm bớt lợi ích này , vì vậy không phải",Hãy tự hỏi liệu bạn còn sẵn sàng dành tâm trí để giữ gìn mối quan hệ này ?,0.15765991148446093,0.029619139890571185,0.030071471323239393,0.013448370812439775,0.5600044131278992
Their sole purpose is to make our lives better .,"Nghi của chúng ta sẽ càng tốt hơn với những người khác nhau , vì vậy là điều này sẽ giúp đỡ người ấy .",Mục đích duy nhất của chúng là làm cho cuộc sống của chúng ta tốt hơn .,0.28,0.1870828693386971,0.14367280139847488,0.051283703648473455,0.7052643299102783
"If you 're not having any luck getting rid of the bats on your own , or you suspect you might be housing an entire bat colony , your best bet is to have the problem dealt with professionally .","Nếu bạn không thể tự hào về việc của mình , nếu bạn có thể được nuôi dưỡng hoặc bất cứ ai mà bạn có thể được phép để có thể là người lao động , hãy dành cho bạn biết của mình là người gốc của bạn .","Nếu chẳng may không tự xua đuổi được lũ dơi hoặc nghi ngờ có cả tổ dơi trong nhà , tốt nhất là bạn nên nhờ dịch vụ chuyên nghiệp xử lý .",0.2040816326530612,0.020619652471058063,0.02072846707991013,0.006659271909516516,0.588756799697876
"With her company Reinaudi created several characters that she would later include in her published stories , such as the little dog Rito , Marimonia , and Sonio .","ể khen ngợi một cuộc phỏng vấn đề xuất hiện trong những người đã yêu cầu cô đã được yêu cầu trong khi các nhà thơ ấu của cô đã được công việc trong cuộc đời của mình trong cuộc đời của họ , ví dụ như Puerto","Với công ty của mình , Reinaudi đã tạo ra một số nhân vật mà sau này cô sẽ đưa vào những câu chuyện đã xuất bản của mình , chẳng hạn như chú chó nhỏ Rito , Marimonia và Sonio .",0.25,0.07293249574894728,0.04123405842348639,0.012660998324628945,0.6124169826507568
"When you 're beginning a new enterprise , it might feel presumptuous to speak of your career like it 's the real deal .","Khi bạn bắt đầu một tuần để cải thiện sự thật , bạn sẽ có thể thay đổi thói quen mới để thay đổi thói quen mới của bạn như vậy .","Khi bắt đầu một doanh nghiệp mới , có thể bạn cảm thấy rằng sẽ là quá tự tin nếu bạn nói về sự nghiệp của mình như thể mọi chuyện đã thành công thật sự .",0.42767266365371126,0.18815088689494297,0.14414051383638718,0.041537854941385906,0.7059009075164795
Notice how the stick casts a shadow - that 's the shadow you 'll use to find your direction .,"Hãy đảm bảo rằng bạn chọn cách dùng máy tính của bạn để chọn loại toner này , bạn sẽ tự động lại của bạn .",Quan sát bóng của chiếc cọc vừa cắm - đó là cái bóng mà bạn sẽ dùng để tìm hướng .,0.23076923076923078,0.0960768922830523,0.05458221284100793,0.02022202784230022,0.5148922204971313
"The cap is small , but sometimes fitting it can be uncomfortable .","ôi lúc là nó cũng có thể là nó cũng có thể là khá tốt , vì vậy , nó cũng như vậy .","Cái mũ cầu nhỏ , nhưng đôi khi cho vào sẽ khá khó chịu .",0.12500000000000003,0.02331262020600785,0.023573136842452342,0.01041441909198652,0.4671505093574524
"However , Steve Key of Computer And Video Games disliked the Dreamcast release 's low - resolution backgrounds , which he thought made the characters stand out too much from the environments , and thus lessened the game 's atmosphere .","Tuy nhiên , máy tính và các phần của bảng xếp hạng nặng hơn , tạo ra neutron dữ liệu , vì vậy , mà ta nghĩ rằng Nintendo đã tạo ra neutron","Tuy nhiên , Steve Key của Computer And Video Games không thích hình nền độ phân giải thấp trên phiên bản Dreamcast , và cho rằng nó làm các nhân vật nổi bật quá nhiều so với cảnh quan xung quanh , và do đó giảm bớt bầu không khí của trò chơi .",0.14433091131819553,0.06909316349160824,0.058563179848600315,0.01947207321476967,0.7173292636871338
"BG : So you 're basically pleading for rehabilitating growth , but the only way for that happen without compromising the capacity of the earth , to take us on a long journey , is for economic growth somehow to decouple from the underlying use of resources .","Internet nối liền này là một phần của hệ thống Obama như vậy , nhưng không thể tin rằng khả năng không thể hiện sự thay đổi của các khu vực pháp lý , nhưng khả năng này không thể hiện sự cân bằng , nhưng","BG : Vậy cơ bản là bạn đang đề xuất khôi phục tăng trưởng , nhưng cách duy nhất để điều đó xảy ra mà không vượt quá sức chịu đựng của trái đất và đưa chúng ta đi một chặng đường dài , là tách biệt tăng trưởng kinh tế với việc sử dụng tài nguyên .",0.11723195180750047,0.04479913562556941,0.025334339954559294,0.008907532753524615,0.6847702264785767
But what about those more dynamic and unpredictable situations that we now increasingly face ?,Nhưng điều gì đó thì sao ta lại những gì chúng ta có thể nhìn thấy sự thật sự thật sự thật sự thật sự thật sự thật sự thật sự thật sự thật sự thật sự thật sự thật sự thật sự ?,Nhưng còn những tình huống năng động và khó đoán hơn mà chúng ta hiện đang đối mặt thì sao ?,0.1590909090909091,0.0860207949685367,0.04091671359571191,0.014397710577076568,0.5586045980453491
Adding specific details about why you 're thanking the person makes the note much more sincere and personal .,"Hãy thử nghiệm nhiều người bạn yêu cầu bạn cũng nên dành thời gian để giảm bớt nhiều người , vì những người khác cũng như những người lao động và cảm giác của bạn .",Thêm vào chi tiết cụ thể vì sao bạn cảm ơn người đó sẽ làm cho tấm thiếp thêm phần chân thành và nhân cách hoá .,0.16666666666666669,0.02182178902359924,0.021980503399839906,0.008071364532479952,0.6502915620803833
You two lovebirds have a nice trip now .,Hai người khác có thể là một ngày .,Bây giờ hai anh bạn thân sẽ có một chuyến đi vui vẻ .,0.1912511402458109,0.03703562405576024,0.038292846753756854,0.018107569251105026,0.4140459895133972
I am her mother .,Mẹ là con trai của mẹ .,Chị là mẹ nó .,0.42857142857142855,0.08451542547285168,0.08845681412056122,0.043472087194499145,0.7899001836776733
"The majority of Louis Latour 's Domaine vineyards are in Aloxe - Corton , the original home of the family .","Các thành viên của các boongke nằm trong khu vực của ức chế Ottoman , với các nhà lãnh đạo của họ là Nablus , và trong số các thành viên của các","Phần lớn những vườn nho của Domaine Louis Latour nằm trong Aloxe-Corton , nơi khởi đầu phát triển của gia đình .",0.15151515151515155,0.06881023532039754,0.039003188702745904,0.015021239977027565,0.5206273198127747
"More worrisome , the Vietnamese government persists in criminalizing peaceful dissent , unsanctioned religious activity and efforts to seek sanctuary in Cambodia , by arresting and imprisoning Montagnards who engage in those activities .","iều quan trọng đến việc cải thiện sức khoẻ , Việt Nam sẽ giúp giảm thiểu sự lo lắng về vấn đề , và họ sẽ làm việc cho các vấn đề của mình tại Trung Quốc , khi họ đã kiểm tra lại lợi ích và thậm","Chính quyền Việt Nam dai dẳng truy bắt những người chống đối ôn hoà , không thừa nhận những sinh hoạt tôn giáo , và truy lùng những nơi ẩn lánh tại Cambodia , bằng cách bắt giữ và giam cầm những người thiểu số can dự vào những hoạt động này .",0.16895158232274196,0.08048736253473349,0.03826530717770804,0.012625592194711474,0.6749606132507324
"List the reasons you might be angry at yourself , then read the list as if you are observer and let the feelings come and go .","Hãy đảm bảo rằng bạn sẽ có thể bạn chọn vào thư mục tiêu của bạn , nếu bạn đang đọc và cảm giác của bạn , và bạn sẽ cảm thấy lo lắng và cảm giác của bạn và yêu cầu bạn .","Liệt kê danh sách nguyên nhân khiến bạn trở nên tức giận với chính mình , và sau đó , đọc nó như thể bạn là người quan sát và cho phép cảm giác đến và đi .",0.2727272727272727,0.13794014696151086,0.0592877763478389,0.018232115162898983,0.7443612813949585
"Prosper 's unsecured personal loans are fully amortized over a period of three or five years , with no pre-payment penalties .","Nhóm đầu tiên là những người mẫu tạo ra những năm 1970 nhất trong thời gian ngắn nhất là 50 năm trước , hoặc thậm chí là một trong những năm 1970 , không có khả năng phân phối hợp lý , được không phải là những người lao","Các khoản vay cá nhân không có bảo đảm của Prosper được phân bổ đầy đủ trong khoảng thời gian ba hoặc năm năm , không có hình phạt tiền thanh toán .",0.24489795918367346,0.12371791482634836,0.09450137397701988,0.02900697051073635,0.6146957874298096
